Time,Delta_W,Cumulative_W
16,-0.014795817836496389,0.0
18,0.0409365376538991,0.026140719817402708
24,-0.006648189501740032,0.019492530315662678
24,-0.03292869816564158,0.0
27,0.01664355418490398,0.0032073863349250734
27,0.0370409110340859,0.04024829736901097
41,-0.0012145146867482634,0.03903378268226271
41,-0.006015530623368225,0.033018252058894484
41,-0.014795817836496389,0.018222434222398096
47,0.00225246011967789,0.020474894342075986
47,0.005012942186140188,0.025487836528216172
47,0.02744058180470132,0.05292841833291749
56,0.000915781944436709,0.0538442002773542
56,0.0020381101989183107,0.055882310476272505
56,0.011156508007421491,0.067038818483694
81,-2.224461242754529e-05,0.06701657387126646
81,-0.00011017828662173442,0.06690639558464473
81,-0.00027099485655675997,0.06663540072808796
81,-0.002002396197619565,0.0646330045304684
81,-0.004925099917433928,0.05970790461303447
83,6.154559513367405e-05,0.059769450208168144
83,0.00013697224093841843,0.059906422449106565
83,0.0007497788410238852,0.06065620129013045
83,0.0409365376538991,0.10159273894402954
84,-1.647921419832855e-05,0.10157625972983121
84,-8.162208225287363e-05,0.10149463764757834
84,-0.0002007579274482763,0.10129387972013006
84,-0.0014834115882203633,0.09981046813190969
84,-0.003648603757513078,0.09616186437439661
84,-0.054290245082157566,0.041871619292239044
96,1.6773131395125595e-05,0.04188839242363417
96,3.732929041883396e-05,0.04192572171405301
96,0.00020433857192320333,0.04213006028597621
96,0.011156508007421491,0.0532865682933977
96,0.015059710595610107,0.06834627888900781
123,-3.3357079449900877e-07,0.06834594531821331
123,-1.6521869609848295e-06,0.06834429313125233
123,-4.063724189451234e-06,0.06834022940706287
123,-3.002708600643665e-05,0.06831020232105643
123,-7.385471416040886e-05,0.06823634760689602
123,-0.0010989383333240507,0.06713740927357197
123,-0.004032330764384986,0.06310507850918698
134,3.752278957538429e-07,0.06310545373708273
134,8.35085039512283e-07,0.06310628882212224
134,4.571211573908664e-06,0.06311086003369615
134,0.00024957969534551087,0.06336043972904166
134,0.00033689734995427336,0.06369733707899594
134,0.01664355418490398,0.08034089126389993
158,-1.0072965179973978e-08,0.08034088119093474
158,-4.989172314621407e-08,0.0803408312992116
158,-1.2271383747140937e-07,0.08034070858537413
158,-9.06739429191302e-07,0.08033980184594494
158,-2.230219121047604e-06,0.0803375716268239
158,-3.3185062208870015e-05,0.08030438656461503
158,-0.00012176583817774403,0.08018262072643728
158,-0.005443077197364751,0.07473954352907253
159,-9.114395805413783e-09,0.07473953441467672
159,-4.5143897952985275e-08,0.07473948927077877
159,-1.1103607185491449e-07,0.07473937823470692
159,-8.204517639408578e-07,0.07473855778294297
159,-2.017985711143138e-06,0.07473653979723183
159,-3.002708600643665e-05,0.07470651271122539
159,-0.00011017828662173442,0.07459633442460366
159,-0.004925099917433928,0.06967123450716974
163,-6.109562215871991e-09,0.06967122839760752
163,-3.026085975407328e-08,0.06967119813674777
163,-7.44297047974028e-08,0.06967112370704297
163,-5.499652641748571e-07,0.06967057374177879
163,-1.3526962747927326e-06,0.06966922104550399
163,-2.012775767415071e-05,0.06964909328782984
163,-7.385471416040886e-05,0.06957523857366943
163,-0.0033013932033844335,0.066273845370285
167,1.3839593292704037e-08,0.06627385920987829
167,3.0800581306602635e-08,0.0662738900104596
167,1.6860076170695924e-07,0.0662740586112213
167,9.20528968337896e-06,0.06628326390090468
167,1.2425841355397594e-05,0.06629568974226008
167,0.0006138669951534218,0.0669095567374135
167,0.020328482987029956,0.08723803972444345
167,0.022466448205861078,0.10970448793030453
167,0.03351600230178197,0.1432204902320865
173,-2.247582333777147e-09,0.14322048798450415
173,-1.113234817569587e-08,0.14322047685215597
173,-2.7381158207423962e-08,0.14322044947099777
173,-2.0232091404835106e-07,0.14322024715008372
173,-4.976291496454423e-07,0.14321974952093408
173,-7.404588245200774e-06,0.1432123449326889
173,-2.7169630973207816e-05,0.14318517530171568
173,-0.0012145146867482634,0.1419706606149674
173,-0.03292869816564158,0.10904196244932582
180,-1.1161163560149306e-09,0.10904196133320947
180,-5.5281605007396804e-09,0.10904195580504897
180,-1.3597080766594258e-08,0.1090419422079682
180,-1.0046959256605596e-07,0.10904184173837564
180,-2.4711532245214246e-07,0.10904159462305318
180,-3.677009703193328e-06,0.10903791761335
180,-1.349203945073089e-05,0.10902442557389927
180,-0.0006031101446780151,0.10842131542922126
180,-0.016351907582040755,0.09206940784718051
181,-1.0099038418042558e-09,0.09206940683727667
181,-5.002086473977662e-09,0.0920694018351902
181,-1.230314745367156e-08,0.09206938953204274
181,-9.090864672859493e-08,0.09206929862339601
181,-2.2359919032472024e-07,0.09206907502420568
181,-3.3270959659306164e-06,0.09206574792823975
181,-1.220810214063865e-05,0.09205353982609911
181,-0.0005457166261017489,0.09150782319999735
181,-0.014795817836496389,0.07671200536350097
188,-5.015034060824765e-10,0.07671200486199756
188,-2.4839626312711e-09,0.07671200237803492
188,-6.109562215871991e-09,0.0767119962684727
188,-4.5143897952985275e-08,0.07671195112457475
188,-1.1103607185491449e-07,0.0767118400885029
188,-1.6521869609848295e-06,0.07671018790154192
188,-6.062364110225605e-06,0.0767041255374317
188,-0.00027099485655675997,0.07643313068087493
188,-0.007347385695178914,0.06908574498569602
189,-4.5377904709590837e-10,0.06908574453191697
189,-2.247582333777147e-09,0.06908574228433464
189,-5.5281605007396804e-09,0.06908573675617415
189,-4.084788806385805e-08,0.06908569590828609
189,-1.0046959256605596e-07,0.06908559543869353
189,-1.4949605838901922e-06,0.06908410047810963
189,-5.485453888690396e-06,0.06907861502422094
189,-0.000245206286307844,0.06883340873791309
189,-0.006648189501740032,0.06218521923617306
190,1.3875416211203782e-09,0.06218522062371468
190,3.0880306677901816e-09,0.06218522371174535
190,1.6903717419523686e-08,0.06218524061546277
190,9.22911699789028e-07,0.06218616352716256
190,1.2458004865751602e-06,0.062187409327649136
190,6.154559513367405e-05,0.06224895492278281
190,0.0020381101989183107,0.06428706512170113
190,0.00225246011967789,0.06653952524137902
190,0.003360275636987488,0.0698998008783665
190,0.009134176202636733,0.07903397708100324
190,0.018393972058572117,0.09742794913957535
190,0.020328482987029956,0.1177564321266053
190,0.0409365376538991,0.1586929697805044
190,0.04524187090179798,0.2039348406823024
196,-2.2534000595629815e-10,0.2039348404569624
196,-1.1161163560149306e-09,0.20393483934084602
196,-2.7452032616674866e-09,0.20393483659564277
196,-2.028446090342842e-08,0.20393481631118185
196,-4.989172314621407e-08,0.2039347664194587
196,-7.423754557072932e-07,0.203934024044003
196,-2.7239957857490913e-06,0.20393130004821725
196,-0.00012176583817774403,0.2038095342100395
196,-0.0033013932033844335,0.20050814100665507
196,-0.03292869816564158,0.16757944284101348
202,4.1791950506873044e-10,0.16757944325893298
202,9.300969633457756e-10,0.16757944418902995
202,5.091301846559993e-09,0.1675794492803318
202,2.779756620825073e-07,0.16757972725599388
202,3.752278957538429e-07,0.16758010248388963
202,1.8537177022954413e-05,0.1675986396609126
202,0.0006138669951534218,0.16821250665606602
202,0.0006784279506100467,0.16889093460667606
202,0.0010120955722902195,0.16990303017896627
202,0.002751161002820362,0.17265419118178663
202,0.005540157918116694,0.1781943490999033
202,0.006122821412649096,0.18431717051255242
202,0.012329848197080325,0.19664701870963275
202,0.01362658965170063,0.21027360836133338
202,0.02744058180470132,0.2377141901660347
211,-2.4903922126189343e-10,0.23771418991699547
211,-6.125376434158582e-10,0.23771418930445784
211,-4.526075009906555e-09,0.23771418477838283
211,-1.113234817569587e-08,0.23771417364603464
211,-1.6564635432223191e-07,0.23771400799968032
211,-6.078056159178426e-07,0.2377134001940644
211,-2.7169630973207816e-05,0.23768623056309118
211,-0.0007366403941841061,0.23694959016890707
211,-0.007347385695178914,0.22960220447372814
211,-0.024394179584435946,0.20520802488929218
212,-2.2534000595629815e-10,0.2052080246639522
212,-5.542469797182356e-10,0.2052080241097052
212,-4.095362025800921e-09,0.20520802001434318
212,-1.0072965179973978e-08,0.205208009941378
212,-1.498830195519981e-07,0.20520786005835845
212,-5.499652641748571e-07,0.2052073100930943
212,-2.4584098738787207e-05,0.2051827259943555
212,-0.0006665397922945383,0.20451618620206097
212,-0.006648189501740032,0.19786799670032093
212,-0.02207276647028654,0.1757952302300344
213,1.3911331855079366e-10,0.17579523036914774
213,3.0960238413320196e-10,0.1757952306787501
213,1.6947471630984622e-09,0.17579523237349728
213,9.253005987909542e-08,0.17579532490355718
213,1.2490251629333175e-07,0.17579544980607348
213,6.170490204333978e-06,0.1758016202962778
213,0.00020433857192320333,0.176005958868201
213,0.0002258290471306333,0.17623178791533164
213,0.00033689734995427336,0.1765686852652859
213,0.000915781944436709,0.1774844672097226
213,0.0018441583700620008,0.1793286255797846
213,0.0020381101989183107,0.1813667357787029
213,0.0041042499311949405,0.18547098570989784
213,0.004535897664470626,0.19000688337436847
213,0.009134176202636733,0.1991410595770052
213,0.0409365376538991,0.2400775972309043
213,0.04524187090179798,0.28531946813270226
217,2.0753268438491118e-10,0.2853194683402349
217,1.136022996386928e-09,0.2853194694762579
217,6.202475399783567e-08,0.2853195315010119
217,8.372466047171331e-08,0.2853196152256724
217,4.136203277831611e-06,0.2853237514289502
217,0.00013697224093841843,0.2854607236698886
217,0.0001513777372687908,0.2856121014071574
217,0.0002258290471306333,0.28583793045428807
217,0.0006138669951534218,0.2864517974494415
217,0.0012361763235169696,0.28768797377295846
217,0.0013661861223646281,0.28905415989532307
217,0.002751161002820362,0.2918053208981434
217,0.003040503131260899,0.29484582402940435
217,0.006122821412649096,0.30096864544205343
217,0.02744058180470132,0.32840922724675475
217,0.030326532985631673,0.3587357602323864
235,-4.1059626133307926e-10,0.3587357598217901
235,-1.0099038418042558e-09,0.3587357588118863
235,-1.502709823396573e-08,0.35873574378478806
235,-5.5138881473877426e-08,0.3587356886459066
235,-2.4647733135180434e-06,0.3587332238725931
235,-6.68265088706882e-05,0.3586663973637224
235,-0.0006665397922945383,0.3579998575714279
235,-0.002212990044074401,0.3557868675273535
235,-0.006648189501740032,0.3491386780256135
235,-0.009917933293295192,0.3392207447323183
243,-1.8449279277519635e-10,0.33922074454782547
243,-4.5377904709590837e-10,0.3392207440940464
243,-6.752110483155547e-09,0.3392207373419359
243,-2.477549649523963e-08,0.33922071256643943
243,-1.1074940397468335e-06,0.3392196050723997
243,-3.002708600643665e-05,0.33918957798639326
243,-0.000299495634414613,0.33889008235197865
243,-0.0009943605241056752,0.337895721827873
243,-0.0029872241020718364,0.3349084977258011
243,-0.004456414692860032,0.3304520830329411
266,4.618724830985297e-10,0.3304520834948136
266,6.234626392875495e-10,0.3304520841182762
266,3.0800581306602635e-08,0.3304521149188575
266,1.0199751705585961e-06,0.33045313489402806
266,1.1272468956606105e-06,0.3304542621409237
266,1.6816547592859484e-06,0.330455943795683
266,4.571211573908664e-06,0.3304605150072569
266,9.20528968337896e-06,0.33046972029694033
266,1.0173418450532209e-05,0.3304798937153909
266,2.048674894898934e-05,0.3305003804643399
266,2.264135914433985e-05,0.3305230218234842
266,4.559409827772581e-05,0.3305686159217619
266,0.00020433857192320333,0.3307729544936851
266,0.0002258290471306333,0.33099878354081574
266,0.00225246011967789,0.33325124366049363
266,0.005012942186140188,0.3382641858466338
280,-1.6693598226095236e-10,0.33826418567969785
280,-6.125376434158582e-10,0.3382641850671602
280,-2.7381158207423962e-08,0.338264157686002
280,-7.423754557072932e-07,0.33826341531054627
280,-7.404588245200774e-06,0.33825601072230105
280,-2.4584098738787207e-05,0.33823142662356226
280,-7.385471416040886e-05,0.3381575719094019
280,-0.00011017828662173442,0.33804739362278013
280,-0.014795817836496389,0.3232515757862837
310,3.7814920591325703e-10,0.3232515761644329
310,1.2522581861638111e-08,0.32325158868701476
310,1.3839593292704037e-08,0.32325160252660806
310,2.064624707936636e-08,0.32325162317285516
310,5.612231826171721e-08,0.3232516792951734
310,1.1301647034905272e-07,0.32325179231164375
310,1.2490251629333175e-07,0.32325191721416
310,2.515227803555724e-07,0.3232521687369404
310,2.779756620825073e-07,0.3232524467126025
310,5.59774242129547e-07,0.32325300648684463
310,2.5087341028087645e-06,0.3232555152209474
310,2.7725799716088475e-06,0.32325828780091903
310,2.765421850739168e-05,0.3232859420194264
310,6.154559513367405e-05,0.32334748761456006
310,0.0024893534183931974,0.32583684103295324
314,2.5348099311611433e-10,0.32583684128643425
314,8.394137649978317e-09,0.3258368496805719
314,9.276956813079893e-09,0.32583685895752873
314,1.3839593292704037e-08,0.32583687279712203
314,3.761991496082107e-08,0.325836910417037
