Gene,OnsetIndex,Rank,Percentile,Phase
ENSG00000033122.19,32,3408,97.70576426727844,Phase IV
ENSG00000050628.20,0,1,0.0,Phase I
ENSG00000122420.10,54,3460,99.19701749354746,Phase IV
ENSG00000137959.16,0,1,0.0,Phase I
ENSG00000142875.19,0,1,0.0,Phase I
ENSG00000174021.11,0,1,0.0,Phase I
ENSG00000162643.13,39,3428,98.27932320045883,Phase IV
ENSG00000142867.13,0,1,0.0,Phase I
ENSG00000097033.14,0,1,0.0,Phase I
ENSG00000065243.20,0,1,0.0,Phase I
ENSG00000137947.12,0,1,0.0,Phase I
ENSG00000117226.12,0,1,0.0,Phase I
ENSG00000117228.10,0,1,0.0,Phase I
ENSG00000162645.13,0,1,0.0,Phase I
ENSG00000213512.3,10,3149,90.27817608259248,Phase III
ENSG00000162654.9,0,1,0.0,Phase I
ENSG00000154451.14,0,1,0.0,Phase I
ENSG00000183347.14,0,1,0.0,Phase I
ENSG00000174842.17,0,1,0.0,Phase I
ENSG00000162676.12,0,1,0.0,Phase I
ENSG00000122406.13,0,1,0.0,Phase I
ENSG00000122481.17,0,1,0.0,Phase I
ENSG00000162688.17,0,1,0.0,Phase I
ENSG00000079335.20,0,1,0.0,Phase I
ENSG00000162692.12,12,3162,90.65098938915972,Phase III
ENSG00000170989.9,0,1,0.0,Phase I
ENSG00000134215.16,0,1,0.0,Phase I
ENSG00000116266.11,0,1,0.0,Phase I
ENSG00000031698.13,0,1,0.0,Phase I
ENSG00000143106.13,0,1,0.0,Phase I
ENSG00000065135.11,0,1,0.0,Phase I
ENSG00000184371.14,0,1,0.0,Phase I
ENSG00000168710.18,0,1,0.0,Phase I
ENSG00000134248.13,0,1,0.0,Phase I
ENSG00000143119.14,0,1,0.0,Phase I
ENSG00000121933.19,0,1,0.0,Phase I
ENSG00000282608.1,0,1,0.0,Phase I
ENSG00000116473.14,0,1,0.0,Phase I
ENSG00000116489.13,0,1,0.0,Phase I
ENSG00000155363.18,0,1,0.0,Phase I
ENSG00000155366.16,0,1,0.0,Phase I
ENSG00000134242.16,0,1,0.0,Phase I
ENSG00000163349.22,0,1,0.0,Phase I
ENSG00000213281.5,0,1,0.0,Phase I
ENSG00000052723.11,0,1,0.0,Phase I
ENSG00000116815.16,0,1,0.0,Phase I
ENSG00000116824.5,0,1,0.0,Phase I
ENSG00000134256.12,0,1,0.0,Phase I
ENSG00000116830.12,0,1,0.0,Phase I
ENSG00000134250.20,0,1,0.0,Phase I
ENSG00000265808.3,0,1,0.0,Phase I
ENSG00000198019.12,0,1,0.0,Phase I
ENSG00000117262.19,0,1,0.0,Phase I
ENSG00000117281.15,6,3102,88.93031258961858,Phase II
ENSG00000265491.5,0,1,0.0,Phase I
ENSG00000186141.9,0,1,0.0,Phase I
ENSG00000131788.16,0,1,0.0,Phase I
ENSG00000121851.13,0,1,0.0,Phase I
ENSG00000265972.5,0,1,0.0,Phase I
ENSG00000131791.8,0,1,0.0,Phase I
ENSG00000188092.14,0,1,0.0,Phase I
ENSG00000150337.13,0,1,0.0,Phase I
ENSG00000203814.6,0,1,0.0,Phase I
ENSG00000183598.3,0,1,0.0,Phase I
ENSG00000270882.2,4,3014,86.40665328362489,Phase II
ENSG00000184678.10,0,1,0.0,Phase I
ENSG00000159164.10,27,3369,96.58732434757673,Phase IV
ENSG00000264522.6,0,1,0.0,Phase I
ENSG00000143369.15,14,3203,91.82678520217952,Phase III
ENSG00000143384.13,0,1,0.0,Phase I
ENSG00000163131.11,0,1,0.0,Phase I
ENSG00000143387.13,0,1,0.0,Phase I
ENSG00000143437.21,0,1,0.0,Phase I
ENSG00000143379.12,0,1,0.0,Phase I
ENSG00000143434.15,70,3480,99.77057642672784,Phase IV
ENSG00000163154.6,0,1,0.0,Phase I
ENSG00000163159.12,0,1,0.0,Phase I
ENSG00000159352.15,0,1,0.0,Phase I
ENSG00000159377.11,0,1,0.0,Phase I
ENSG00000143376.14,0,1,0.0,Phase I
ENSG00000143365.18,26,3361,96.35790077430455,Phase IV
ENSG00000159445.13,0,1,0.0,Phase I
ENSG00000197747.9,0,1,0.0,Phase I
ENSG00000163191.6,0,1,0.0,Phase I
ENSG00000163220.11,0,1,0.0,Phase I
ENSG00000163221.9,0,1,0.0,Phase I
ENSG00000143546.10,0,1,0.0,Phase I
ENSG00000196154.12,0,1,0.0,Phase I
ENSG00000189171.14,84,3484,99.88528821336392,Phase IV
ENSG00000143621.17,0,1,0.0,Phase I
ENSG00000143578.16,2,2968,85.08746773731,Phase II
ENSG00000143543.15,0,1,0.0,Phase I
ENSG00000177954.13,0,1,0.0,Phase I
ENSG00000143575.14,0,1,0.0,Phase I
ENSG00000160712.13,0,1,0.0,Phase I
ENSG00000160714.10,0,1,0.0,Phase I
ENSG00000160710.16,0,1,0.0,Phase I
ENSG00000160691.18,0,1,0.0,Phase I
ENSG00000160685.13,0,1,0.0,Phase I
ENSG00000163357.10,15,3216,92.19959850874676,Phase III
ENSG00000169242.12,9,3145,90.1634642959564,Phase III
ENSG00000163462.18,45,3444,98.73817034700316,Phase IV
ENSG00000185499.16,3,2996,85.89045024376254,Phase II
ENSG00000177628.16,0,1,0.0,Phase I
ENSG00000132718.9,0,1,0.0,Phase I
ENSG00000116584.18,0,1,0.0,Phase I
ENSG00000116586.11,0,1,0.0,Phase I
