,BLOC1S3-AS-1,LINC-ADAMTS19-1,ABHD2-AS-1,AC116366.3-AS-3,AC119396.1-AS-3,ARHGEF5-AS-1,ARL6IP5-AS-1,ARPC1B-AS-1,ATXN3-AS-1,BCAS3-AS-1,CHD4-AS-2,CHST11-AS-1,CREB3L2-AS-1,CRY1-AS-1,DENND1A-AS-1,EIF4EBP2-AS-1,ENSG00000001460.18,ENSG00000004864.13,ENSG00000006756.16,ENSG00000011243.18,ENSG00000014257.16,ENSG00000031081.11,ENSG00000048462.11,ENSG00000063761.16,ENSG00000072952.18,ENSG00000075711.21,ENSG00000078053.17,ENSG00000094916.16,ENSG00000099381.18,ENSG00000103365.15,ENSG00000103381.12,ENSG00000105373.19,ENSG00000106399.11,ENSG00000106692.14,ENSG00000108666.10,ENSG00000110066.15,ENSG00000110448.11,ENSG00000112357.13,ENSG00000114779.19,ENSG00000117425.14,ENSG00000119013.9,ENSG00000119812.19,ENSG00000120162.10,ENSG00000122986.13,ENSG00000123159.16,ENSG00000125484.12,ENSG00000125618.17,ENSG00000125810.10,ENSG00000127399.15,ENSG00000127616.18
CHST11-AS-1,0.025160736220402755,0.05031879763130541,0.029693041924379212,0.03587600946454826,0.0,0.00820086842093483,0.04137442282254109,0.006464839913537056,0.003360275636987488,0.020646432178250008,0.042817906132903615,0.0,0.04977776856626861,0.006788357784148515,0.009019224281508526,0.014197011138682391,0.0016686634980163041,0.04191105584218931,0.016208130750340916,0.00225246011967789,0.009134176202636733,0.054376047104434715,0.010978334572698733,0.031199497080055535,0.07869051576450284,0.026330658273501457,0.004333511788455199,0.04137442282254109,0.013408968127099382,0.015059710595610107,0.012494451839624221,0.0370409110340859,0.040529547477280756,0.008610922531892636,0.0013661861223646281,0.047843750734738934,0.0370409110340859,0.009134176202636733,0.03994575085561917,0.05014078252793535,0.010978334572698733,0.06281919938083672,0.03221382019248705,0.02419388679824684,0.04363451438367403,0.016903868965672107,0.002751161002820362,0.044443884464754536,0.010106425217666443,0.0
CREB3L2-AS-1,0.0,0.011363340462979883,0.01768693794515705,0.043781967784512266,0.0,0.10766384878111537,0.1275219107747312,0.025139341336001344,0.0,0.05349771593674725,0.0,0.0,0.0,0.03911991857825238,0.0035970710884655997,0.03900895769009623,0.021906793926650424,0.13456701542863236,0.08230321595248574,0.029571078727641566,0.0,0.0,0.0136446354308952,0.0,0.09702855577862704,0.1082057632925608,0.0,0.1275219107747312,0.028663255347707438,0.013631612065781958,0.033548749456675006,0.07063006299280608,0.11643009381802986,0.0,0.0,0.08197074079434143,0.07063006299280608,0.0,0.10876580901703872,0.05739568884799938,0.0,0.08130658590400891,0.05495920257858312,0.0030654959406668895,0.09745985543666219,0.0,0.03611819711971293,0.053523178282627405,0.1326806602060391,0.0
CRY1-AS-1,0.0,0.0,0.0018402026378631382,0.0,0.0,0.09840745856665592,0.023419367910780815,0.0,0.0,0.002686061657895174,0.0,0.0,0.0,0.0,0.0,0.0,0.05543488309265801,0.0359852753059415,0.0,0.024829265189570477,0.0,0.0,0.016674084576948092,0.0,0.0,0.069814241345485,0.026269328022494584,0.023419367910780815,0.0,0.0,0.0,0.0,0.05490044719328044,0.0010735528569059266,0.03724021424026356,0.0,0.0,0.0,0.08550606509636798,0.0,0.008528055235969875,0.0,0.0,0.0,0.0,0.026073221431860603,0.0,0.0,0.10216341319228721,0.0
DENND1A-AS-1,0.0,0.0,0.0,0.009677576455351132,0.0,0.0686045163104938,0.004057239081337122,0.0,0.0,0.0,0.0,0.0,0.0,0.020364438259201378,0.0,0.0,0.049370759231166225,0.014672957535958427,0.0,0.01664355418490398,0.0,0.0,0.0,0.0,0.0,0.0414171589895557,0.00784378514420405,0.004057239081337122,0.0,0.0,0.0,0.0,0.03860869699156488,0.034590862283714954,0.029598289747554213,0.0,0.0,0.0,0.07133590203782712,0.0,0.0,0.027075718008920266,0.0,0.0,0.0,0.007806203167398107,0.0,0.0,0.0654354483331706,0.0
EIF4EBP2-AS-1,0.0,0.0,0.0,0.007243438818255479,0.0,0.05967209314819871,0.06768777042586553,0.008055014732684503,0.0,0.0008259640577654714,0.0,0.0,0.0,0.027245017158710267,0.05050253207241705,0.0,0.03491901276583308,0.0,0.0,0.047135736933818666,0.020964272632014325,0.0,0.059555750028725325,0.0,0.0077254211609210505,0.08370072050486498,0.07364810969161271,0.06768777042586553,0.03078382935177791,0.0,0.0,0.0,0.05000762520679926,0.04195827253530938,0.011552856252091306,0.03288653276568134,0.0,0.003927859265595461,0.03779090103881367,0.0,0.04251933666230646,0.0,0.03663317641189294,0.0,0.0,0.0,0.0575717190988783,0.0,0.09954841464153372,0.0
ENSG00000001460.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012743800530699942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038934141456279533,0.0,0.0,0.0,0.03433795889047243,0.014311178839211978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000004864.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005280456499876983,0.0,0.0,0.0,0.0,0.0,0.008418943492189562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009251427547559421,0.0,0.0,0.049447666445325306,0.0,0.017121245248262768,0.0,0.0,0.0,0.02590184400151159,0.06067471468719298,0.0,0.0,0.005126900651018902,0.0,0.0,0.0,0.011721518398974208,0.0,0.0,0.0
ENSG00000006756.16,0.0,0.0,0.02128285887282443,0.0,0.0,0.05758941431752314,0.1202937502243437,0.03962564028805839,0.044186086059961,0.023302462734165995,0.0,0.0,0.0,0.007428710248482465,0.05048947812545371,0.01565419981930525,0.056429889598068286,0.08844129290711109,0.0,0.07617238348449397,0.0,0.0,0.015897726839282082,0.0,0.0,0.1551393828961488,0.12709841898116397,0.1202937502243437,0.0,0.0,0.017168896905647615,0.0,0.09172224823257134,0.036681767534964306,0.02675112910632473,0.0,0.0,0.0,0.07197975434614566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0930371592835951,0.0,0.12203042341866596,0.0
ENSG00000011243.18,0.0,0.0,0.0,0.0121435460947672,0.0,0.008007839488257514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0370409110340859,0.0,0.0,0.0,0.0,0.0,0.026140719817402708,0.0,0.0,0.017039014104087397,0.0,0.0,0.0,0.0,0.0,0.0,0.023791978047188245,0.020964272632014325,0.027623580842018207,0.01859648944007643,0.0,0.0,0.06083288908127414,0.0,0.023437767673789238,0.005546368616771158,0.0,0.0,0.0,0.029259468356927526,0.0,0.0,0.0,0.0
ENSG00000014257.16,0.0,0.05788663487000291,0.0,0.026202822214837856,0.0,0.044891122302674176,0.008925597714937011,0.024427182139475985,0.007432960615408038,0.0,0.05030546674386829,0.0,0.0017544626667270746,0.0371591133866508,0.049370759231166225,0.0,0.009134176202636733,0.011863098633155055,0.038722455045602074,0.012329848197080325,0.0,0.0,0.01009482589973277,0.021586609949749605,0.0050386961253026975,0.005895853907036841,0.01276040410826932,0.008925597714937011,0.0,0.0,0.018393972058572117,0.0,0.004300794522414572,0.047135736933818666,0.0,0.0,0.0,0.0,0.0011051225279709795,0.0,0.0,0.0,0.0,0.0,0.010336208577901239,0.0,0.015059710595610107,0.03529662755082931,0.055322039959931214,0.0
