Time,Delta_W,Cumulative_W
987,0.04524187090179798,0.04524187090179798
987,-0.054290245082157566,0.0
988,0.0409365376538991,0.03188816347353951
988,0.04524187090179798,0.0771300343753375
988,-0.04912384518467891,0.028006189190658587
988,-0.054290245082157566,0.0
989,0.0370409110340859,0.010756855142586917
989,0.0409365376538991,0.051693392796486014
989,0.04524187090179798,0.096935263698284
989,-0.04444909324090307,0.05248617045738092
989,-0.04912384518467891,0.003362325272702013
989,-0.054290245082157566,0.0
990,0.03351600230178197,0.0
990,0.0370409110340859,0.019628993526412314
990,0.0409365376538991,0.06056553118031141
990,0.04524187090179798,0.1058074020821094
990,-0.040219202762138355,0.06558819931997104
990,-0.04444909324090307,0.021139106079067965
990,-0.04912384518467891,0.0
990,-0.054290245082157566,0.0
991,0.030326532985631673,0.0
991,0.03351600230178197,0.0
991,0.0370409110340859,0.018608462133731025
991,0.0409365376538991,0.05954499978763012
991,0.04524187090179798,0.1047868706894281
991,-0.036391839582758004,0.0683950311066701
991,-0.040219202762138355,0.028175828344531743
991,-0.04444909324090307,0.0
991,-0.04912384518467891,0.0
991,-0.054290245082157566,0.0
992,0.02744058180470132,0.0
992,0.030326532985631673,0.0
992,0.03351600230178197,0.0
992,0.0370409110340859,0.008636672962993065
992,0.0409365376538991,0.04957321061689216
992,0.04524187090179798,0.09481508151869014
992,-0.03292869816564158,0.06188638335304856
992,-0.036391839582758004,0.025494543770290555
992,-0.040219202762138355,0.0
992,-0.04444909324090307,0.0
992,-0.04912384518467891,0.0
992,-0.054290245082157566,0.0
993,0.024829265189570477,0.0
993,0.02744058180470132,0.0
993,0.030326532985631673,0.0
993,0.03351600230178197,0.0
993,0.0370409110340859,0.0
993,0.0409365376538991,0.0315019884700831
993,0.04524187090179798,0.07674385937188108
993,-0.029795118227484572,0.04694874114439651
993,-0.03292869816564158,0.014020042978754928
993,-0.036391839582758004,0.0
993,-0.040219202762138355,0.0
993,-0.04444909324090307,0.0
993,-0.04912384518467891,0.0
993,-0.054290245082157566,0.0
994,0.022466448205861078,0.0
994,0.024829265189570477,0.0
994,0.02744058180470132,0.0
994,0.030326532985631673,0.0
994,0.03351600230178197,0.0
994,0.0370409110340859,0.0
994,0.0409365376538991,0.006102096301650553
994,0.04524187090179798,0.05134396720344853
994,-0.02695973784703329,0.02438422935641524
994,-0.029795118227484572,0.0
994,-0.03292869816564158,0.0
994,-0.036391839582758004,0.0
994,-0.040219202762138355,0.0
994,-0.04444909324090307,0.0
994,-0.04912384518467891,0.0
994,-0.054290245082157566,0.0
995,0.020328482987029956,0.0
995,0.022466448205861078,0.0
995,0.024829265189570477,0.0
995,0.02744058180470132,0.0
995,0.030326532985631673,0.0
995,0.03351600230178197,0.0
995,0.0370409110340859,0.0
995,0.0409365376538991,0.0
995,0.04524187090179798,0.019312820175012686
