,ENSG00000134247.10,ENSG00000222009.8,ENSG00000162604.12,ENSG00000134686.18,ENSG00000116824.5,ENSG00000085998.14,ENSG00000221539.1
ENSG00000134247.10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000222009.8,0.3875327303458589,0.0,0.1888385282983903,0.0,0.3626132057963983,0.4044505623163135,0.4777590274923795
ENSG00000162604.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000134686.18,0.0094486712099804,0.0,0.3829538578376364,0.0,0.4492472846555632,0.4604114009840865,0.0
ENSG00000116824.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000085998.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0653292505687615
ENSG00000221539.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
